直播id,直播开始时间,直播结束时间,GPM,9990,累计观看人数,新增粉丝数,999,整体成单率,直播间评论次数,直播间分享次数,整体下单率,整体下单数,直播间平均成单金额(元),直播间新加团人数,直播间商品点击次数,直播间查看购物车次数,直播间打赏次数,消耗(元),广告GPM(元),广告ROI,广告成交金额(元),广告成单数,广告成单率,广告点击次数,广告点击率,平均千次展现费用(元),广告下单数,广告下单率,广告点击单价(元),广告转化率,广告转化数,广告转化成本(元),广告平均成单金额(元),广告引导超1分钟观看人数
7.11E+18,1654685721,1654703731,2231.46,76023.78,34069,992,1343,5.66,2125,41,6.94,1645,56.61,23,19076,16250,150,22606.07,2373.04,2.56,57859.5,1062,4.48,23718,2.44,23.29,1317,5.55,0.95,3.76,892,25.34,54.48,6023
7.11E+18,1654657736,1654682111,1980.99,30556.71,15425,361,580,6.73,886,12,8.44,727,52.68,8,8712,7815,49,8421.86,2161.67,2.25,18968.68,387,4.49,8615,2.19,21.4,486,5.64,0.98,3.87,333,25.29,49.01,2281
7.11E+18,1654646481,1654653795,2466.74,12358.37,5010,158,224,6.73,299,11,8.15,271,55.17,3,2865,2387,15,3395.15,2665.42,2.54,8625.31,161,4.84,3326,1.8,18.42,191,5.74,1.02,4.24,141,24.08,53.57,833
7.11E+18,1654772107,1654790121,2459.81,77631.45,31560,788,1350,6.38,2178,34,7.88,1668,57.5,25,18138,15925,119,21209.82,2613.65,2.67,56687.52,1027,4.85,21167,2.48,24.89,1268,5.99,1,4,846,25.07,55.2,5438
7.11E+18,1654732592,1654768617,1627.32,42520.18,26129,436,737,4.65,1218,20,5.6,888,57.69,9,10502,9115,75,9664.7,1365.27,2.33,22550.09,446,2.81,15849,1.87,11.4,540,3.41,0.61,2.36,374,25.84,50.56,3643
7.11E+18,1654858518,1654876542,2748.36,86290.2,31397,830,1134,4.4,3407,16,5.91,1523,76.09,29,17038,15703,160,28756.99,2114.09,2.17,62401.53,827,3.21,25753,2.66,29.71,1103,4.28,1.12,3.91,1007,28.56,75.46,7012
7.11E+18,1654818904,1654854924,1839.85,40094.09,21792,429,707,4.43,1185,23,5.44,867,56.71,7,10793,9536,69,12385.05,1366.26,1.79,22148.52,424,2.66,15944,2.12,16.5,526,3.3,0.78,3.02,482,25.7,52.24,4509
7.11E+18,1654944924,1654962944,2180.79,60909.46,27930,584,826,5.1,2584,30,6.38,1034,73.74,17,11708,12531,101,17245.95,2399.99,2.67,45993.47,629,3.88,16200,2.66,28.32,792,4.89,1.06,3.39,549,31.41,73.12,4161
7.11E+18,1654920441,1654941299,1624.58,19649.28,12095,205,305,5.82,610,13,7.7,404,64.42,2,5273,5055,42,3870.12,1275.9,1.7,6577.28,123,2.35,5244,2.15,15.86,173,3.3,0.74,2.15,113,34.25,53.47,1390
7.11E+18,1654905582,1654915992,2119.86,18366.47,8664,210,305,5.35,509,10,6.85,391,60.22,0,3938,3390,29,4299.28,2187.6,2.85,12261.48,216,3.79,5705,1.92,14.45,275,4.82,0.75,3.26,186,23.11,56.77,1565
7.11E+18,1655031374,1655049383,2659.87,100160.14,37656,1065,1612,6.44,2850,36,7.71,1930,62.13,26,20781,18857,159,26364.83,2909.45,2.94,77548.45,1283,5.13,25030,2.62,27.61,1540,6.15,1.05,4.4,1101,23.95,60.44,6329
7.11E+18,1654991843,1655027861,1948.45,60055.16,30822,798,999,5.72,1762,21,7.08,1238,60.12,12,16820,14648,115,14365.71,2253.2,2.8,40293.92,719,4.11,17478,2.46,20.2,887,5.07,0.82,3.66,639,22.48,56.04,5246
7.11E+18,1655117722,1655135742,2414.72,77981.02,32294,621,1194,6.21,2296,50,7.58,1458,65.31,20,15265,13680,129,19514.97,2559.05,2.72,53064.5,831,4.32,19232,2.55,25.92,1025,5.33,1.01,3.69,710,27.49,63.86,4664
7.11E+18,1655078107,1655114127,1858.96,65390.85,35176,927,1086,4.88,2127,35,6.01,1338,60.21,16,17135,15438,136,17104.96,1937.79,2.61,44609.93,789,3.55,22247,2.19,16.85,977,4.39,0.77,3.08,685,24.97,56.54,5861
7.11E+18,1655204106,1655222144,1937.96,74010.88,38190,659,1126,5.43,2410,43,6.67,1383,65.73,24,14505,13237,150,21534.01,2072.58,2.35,50660.1,798,3.85,20739,2.56,26.54,989,4.77,1.04,3.17,658,32.73,63.48,4831
7.11E+18,1655164878,1655196373,1946.2,52786.85,27123,599,875,5.07,1457,31,6.27,1081,60.33,6,13184,11436,83,13067.24,1871.96,2.48,32384.93,570,3.3,17248,2.28,17.3,723,4.19,0.76,2.83,488,26.78,56.82,4209
7.11E+18,1655290522,1655308548,3349.05,162834.05,48621,1763,2722,8.2,4410,41,9.71,3222,59.82,36,33048,28796,195,40683.84,3846.67,3.29,134021.84,2314,6.97,33191,2.01,24.62,2725,8.21,1.23,5.94,1971,20.64,57.92,9403
7.11E+18,1655250997,1655287017,1900.09,60189.3,31677,685,1102,5.65,1617,33,6.71,1308,54.62,13,15852,13844,116,16310.68,2053.57,2.57,41845.61,821,4.21,19500,2.07,17.3,971,4.98,0.84,3.63,707,23.07,50.97,4611
7.11E+18,1655376909,1655394920,2300.57,79075.04,34372,871,1325,6.27,2282,32,7.59,1605,59.68,23,17172,15659,145,23038.67,2431.23,2.5,57525.3,1002,4.74,21133,2.61,28.43,1227,5.81,1.09,4.16,880,26.18,57.41,5088
7.11E+18,1655355648,1655373663,1896,26782.9,14126,272,478,7.01,807,14,8.31,567,56.03,4,6632,6417,51,5993.18,2034.98,2.31,13868.41,271,3.97,6820,2.3,20.24,325,4.77,0.88,3.5,239,25.08,51.17,1599
7.11E+18,1655337635,1655350494,1910.58,30126.09,15768,384,518,5.45,829,22,6.58,625,58.16,8,7048,5950,65,9326.75,2190.58,2.28,21301.21,374,3.93,9505,1.62,15.92,453,4.77,0.98,3.32,316,29.52,56.96,2285
7.11E+18,1655463317,1655481327,2240.51,67195.21,29991,533,1047,6.25,1782,21,7.44,1247,64.18,19,12403,11485,110,20942.77,2363.74,2.19,45788.05,735,4.39,16754,2.53,31.67,882,5.26,1.25,3.75,629,33.3,62.3,3974
7.11E+18,1655423766,1655459782,1827.63,63597.84,34798,764,1080,4.85,1568,38,5.93,1320,58.89,8,15234,13597,125,18129.2,1718.4,2.25,40741.59,744,3.34,22265,2.81,22.91,927,4.16,0.81,2.89,644,28.15,54.76,5117
7.11E+18,1655549737,1655567746,2769.27,112922.65,40777,956,1821,7.44,2508,33,9.19,2249,62.01,32,21820,19556,165,29161.56,2883.51,2.54,74016.92,1263,5.16,24470,2.59,30.82,1568,6.41,1.19,4.45,1090,26.75,58.6,5825
7.11E+18,1655510105,1655546114,2422.48,82863.36,34206,742,1360,6.73,1775,23,8.08,1633,60.93,13,18253,15939,143,20282.74,2532.49,2.48,50307.86,917,4.54,20211,2.54,25.48,1093,5.41,1,3.94,797,25.45,54.86,4919
