直播id,直播开始时间,直播结束时间,GPM,9990,累计观看人数,新增粉丝数,999,整体成单率,直播间评论次数,直播间分享次数,整体下单率,整体下单数,直播间平均成单金额(元),直播间新加团人数,直播间商品点击次数,直播间查看购物车次数,直播间打赏次数,消耗(元),广告GPM(元),广告ROI,广告成交金额(元),广告成单数,广告成单率,广告点击次数,广告点击率,平均千次展现费用(元),广告下单数,广告下单率,广告点击单价(元),广告转化率,广告转化数,广告转化成本(元),广告平均成单金额(元),广告引导超1分钟观看人数
7.12E+18,1656979036,1656997102,1694.6,14697.3,8673,113,209,5.33,649,8,6.61,259,70.32,0,3699,4074,42,3174.57,2028.23,2.56,8133.21,119,3.04,3918,2.76,22.39,143,3.65,0.81,2.6,102,31.12,68.35,971
7.12E+18,1657104907,1657122923,3181.59,110029,34583,791,1461,6.54,2543,43,7.49,1672,75.31,30,19606,18494,233,27681.31,3710.9,3.11,86000.2,1163,5.21,22332,2.24,27.83,1323,5.92,1.24,4.42,986,28.07,73.95,5422
7.12E+18,1657191333,1657209352,3761.74,122986.25,32694,1410,1654,7.48,2406,26,8.45,1867,74.36,31,22312,20642,166,37201.63,4599.91,2.81,104537.6,1408,6.37,22098,1.71,28.84,1591,7.2,1.68,5.54,1224,30.39,74.25,6233
7.12E+18,1657151729,1657187751,4071.47,125678.2,30868,1182,1626,8.56,2977,26,9.67,1838,77.29,35,23553,21365,142,37108.05,5238.23,2.69,99966.4,1288,6.78,19005,1.43,27.91,1458,7.67,1.95,5.78,1099,33.77,77.61,5550
7.12E+18,1657277737,1657295748,3390.39,86305.77,25456,952,1190,7.12,2038,14,8.26,1381,72.53,24,17205,16161,115,20915.01,4154.15,3.34,69827.1,972,5.82,16712,1.81,22.61,1126,6.74,1.25,5.1,853,24.52,71.84,4539
7.12E+18,1657238400,1657274444,4359.3,135975.27,31192,1473,1716,8.45,2914,28,9.93,2017,79.24,33,25208,22670,198,35984.1,5547.48,3.18,114333.5,1431,7.05,20309,1.29,22.89,1678,8.26,1.77,5.98,1214,29.64,79.9,6272
7.12E+18,1657364121,1657382134,2086.58,38862.61,18625,279,524,4.78,1048,24,5.67,621,74.17,8,8218,7969,84,8419.9,2213.69,2.97,25012.5,347,3.17,10952,2.49,19.14,417,3.81,0.77,2.79,306,27.52,72.08,2335
7.12E+18,1657324919,1657353717,3280.39,67024.91,20432,621,889,7.67,1568,21,9.07,1051,75.39,13,14173,12630,98,17451.27,4528.38,3.01,52569.91,703,6.07,11589,1.51,22.75,820,7.08,1.51,5.11,592,29.48,74.78,3298
7.12E+18,1657411670,1657429713,2900.51,25904.47,8931,187,327,8.44,519,7,10.11,392,79.22,3,4683,4227,28,5790.33,4092.62,2.71,15691.1,195,5.03,3876,1.6,23.89,231,5.96,1.49,4.39,170,34.06,80.47,1000
7.12E+18,1657497369,1657515407,3034.64,23378.84,7704,117,269,8.22,523,3,9.75,319,86.91,2,4257,3640,25,3821.02,2866.33,2.44,9329.9,120,3.67,3271,2.01,23.43,146,4.46,1.17,3.21,105,36.39,77.75,824
7.12E+18,1657588562,1657624603,2207.06,49568.44,22459,339,631,4.93,1296,20,5.79,741,78.56,6,10614,9871,114,11846.63,2360.24,2.59,30737.4,408,3.19,12793,2.67,24.74,486,3.8,0.93,2.81,360,32.91,75.34,3089
7.12E+18,1657588088,1657588247,3000,96,32,0,1,12.5,6,0,12.5,1,96,0,4,7,0,3.33,0,0,0,0,0,8,2.91,12.11,0,0,0.42,0,0,0,0,0
7.12E+18,1657583713,1657584362,986.32,230.8,234,0,2,2.56,6,0,3.85,3,115.4,0,39,48,1,49.02,0,0,0,0,0,78,4.14,25.99,1,1.28,0.63,0,0,0,0,10
7.12E+18,1657670110,1657706125,2260.1,44035.71,19484,370,585,5.73,1175,22,6.96,710,75.27,17,9350,8747,99,9063.31,2198.28,2.46,22266.41,319,3.13,10205,2.89,25.7,397,3.89,0.89,2.76,282,32.14,69.8,2516
7.12E+18,1657789295,1657800081,628.99,3330.48,5295,37,47,2.18,254,10,2.65,57,70.86,0,1054,1181,15,833.67,620.39,1.65,1378.5,20,0.93,2153,4.23,16.39,24,1.11,0.39,0.84,18,46.32,68.92,410
7.12E+18,1657756923,1657789240,2074.7,32464.88,15648,195,431,5.73,823,9,6.72,506,75.32,12,6927,6600,64,6106.02,2157.3,2.71,16552.98,235,3.12,7525,3.06,24.82,282,3.75,0.81,2.68,202,30.23,70.44,1817
7.12E+18,1657882503,1657900565,1564.75,33363.6,21322,247,436,3.01,805,12,3.69,534,76.52,6,7190,7169,72,10208.21,1568.08,2.38,24281.7,326,2.25,14478,3.19,22.51,392,2.71,0.71,1.93,280,36.46,74.48,2695
7.12E+18,1657842939,1657860996,2323.45,17421.2,7498,81,189,5.36,422,8,6.24,220,92.18,1,3027,2808,29,2012.81,1725.24,3.08,6193.6,73,2.07,3525,3.5,19.99,84,2.38,0.57,1.82,64,31.45,84.84,864
7.12E+18,1657929503,1657965541,2204.67,44269.78,20080,304,540,4.95,1129,12,6.03,657,81.98,9,8523,8075,105,9887.51,2200.24,2.5,24748.3,332,3.05,10900,2.65,24.02,407,3.73,0.91,2.65,289,34.21,74.54,2591
7.12E+18,1658015781,1658051825,1792.5,35030.83,19543,252,439,4.42,919,20,5.34,531,79.8,5,7240,6845,79,7555.62,1901.76,2.61,19702.23,249,2.51,9937,3.39,25.81,300,3.02,0.76,2.18,217,34.82,79.13,2216
7.12E+18,1658102205,1658138224,2227.57,34687.7,15572,249,441,6.11,860,21,7.2,520,78.66,9,7130,6600,86,6948.91,2382.5,2.54,17630.5,227,3.14,7220,2.68,25.84,277,3.84,0.96,2.73,197,35.27,77.67,1726
7.12E+18,1658206651,1658224710,1673.87,18631.8,11131,117,246,4.37,644,12,5.2,293,75.74,9,4268,4527,40,3675.8,1633.81,2.59,9525.1,134,2.38,5633,3.54,23.09,164,2.91,0.65,2.06,116,31.69,71.08,1238
7.12E+18,1658274902,1658310934,1672.91,25349.6,15153,157,332,4.6,860,15,5.71,412,76.35,3,6020,6234,70,5285.66,1565.54,2.13,11260.9,161,2.23,7221,3.49,25.52,199,2.76,0.73,1.97,142,37.22,69.94,1517
7.12E+18,1658400941,1658418968,3229.42,90052.51,27885,620,1048,5.54,1942,24,6.54,1237,85.93,22,17216,17137,176,20987.2,3398.93,3.16,66272.41,786,4.15,18926,2.68,29.76,923,4.88,1.11,3.73,705,29.77,84.32,5000
7.12E+18,1658361313,1658379334,2691.11,19454.06,7229,79,226,6.31,475,4,7.56,271,86.08,2,3487,3050,31,2906.46,2611.34,3.22,9361.66,111,3.1,3584,2.88,23.39,140,3.91,0.81,2.71,97,29.96,84.34,956
7.12E+18,1658487314,1658505337,2990.92,57548.3,19241,349,666,5.76,1160,15,6.76,782,86.41,19,10094,10001,107,12490.06,3331.27,3.08,38512.8,470,4.06,11569,2.79,30.17,566,4.89,1.08,3.5,405,30.84,81.94,2925
7.12E+18,1658447720,1658483742,2614.5,68656.8,26260,582,832,5.02,1736,19,6.06,1004,82.52,15,13845,12927,142,19319.71,2908.35,2.54,49028.9,608,3.67,16561,2.32,27.06,727,4.39,1.17,3.25,539,35.84,80.64,4341
7.12E+18,1658573714,1658591736,2455.71,40985.73,16690,194,478,4.91,874,21,5.76,561,85.74,32,7123,7167,105,7373.27,2451.42,3.28,24166.1,298,3.06,9734,3.32,25.11,348,3.58,0.76,2.81,274,26.91,81.09,2136
7.12E+18,1658545316,1658570550,1927.74,27198.5,14109,157,329,4.38,726,7,5.22,392,82.67,2,5178,4944,39,5541.25,1886.4,2.6,14434.7,193,2.57,7509,3.59,26.47,226,3.01,0.74,2.29,172,32.22,74.79,1647
7.12E+18,1658534331,1658541239,1620.27,5818.4,3591,37,69,3.98,211,1,4.73,82,84.32,1,1388,1340,16,1363.2,1207.64,1.54,2101.3,31,1.79,1733,3.26,25.66,37,2.14,0.79,1.73,30,45.44,67.78,419
7.12E+18,1658660112,1658678121,2655.57,48076.47,18104,318,536,5.21,1097,13,5.99,616,89.69,27,8776,8619,83,10025.83,3265.35,3.46,34681.3,391,3.8,10279,2.91,28.43,450,4.38,0.98,3.25,334,30.02,88.7,2434
7.12E+18,1658620506,1658656519,2420.8,47496,19620,262,529,5.19,1319,6,6.18,630,89.78,2,7824,7597,96,8723.09,2391.91,2.81,24536.2,307,3.01,10186,2.75,23.58,360,3.53,0.86,2.63,268,32.55,79.92,2435
7.12E+18,1658706907,1658742921,2035.73,41693.8,20481,296,477,4.77,1207,12,5.88,588,87.41,8,8857,8335,91,8119.97,1979.68,2.51,20414.5,247,2.47,9992,2.61,21.24,303,3.03,0.81,2.23,223,36.41,82.65,2671
7.12E+18,1658832909,1658850935,2548.21,54455.28,21370,430,645,5.05,1201,7,5.96,762,84.43,22,11277,10465,114,12072.8,2942.2,3.16,38122.1,462,3.62,12778,2.79,26.39,540,4.23,0.94,3.13,400,30.18,82.52,3143
7.12E+18,1658795170,1658829393,2107.61,32261.2,15307,212,385,5.81,980,13,7.01,464,83.8,11,7292,6800,77,6297.15,2211.57,2.43,15286.4,197,2.97,6623,2.82,26.79,239,3.61,0.95,2.75,182,34.6,77.6,1742
7.13E+18,1658919335,1658937363,2318.49,33798.9,14578,195,423,6.12,687,8,7.25,501,79.9,12,6668,6064,69,6551.6,2935.76,3.14,20579.7,266,3.85,6913,3.05,28.87,308,4.46,0.95,3.24,224,29.25,77.37,1662
7.12E+18,1658879705,1658915726,2187.68,43591.7,19926,379,524,4.42,1154,14,5.27,625,83.19,9,8676,7816,102,12273.58,2248.56,2.17,26582.5,344,2.9,11859,3.02,31.26,417,3.52,1.03,2.51,298,41.19,77.27,2935
7.13E+18,1659005758,1659023781,2522.14,65807.7,26092,658,827,4.49,1593,23,5.29,975,79.57,22,12984,11887,92,19469.45,2834.84,2.68,52217.7,681,3.69,18438,2.84,29.94,790,4.28,1.06,3.25,599,32.5,76.68,4417
7.13E+18,1658984114,1659002129,1718.29,14084.82,8197,90,168,4.53,396,6,5.5,204,83.84,2,3031,3023,24,2790.83,1810.23,2.37,6601.9,87,2.35,3707,3.41,25.7,105,2.83,0.75,2.02,75,37.21,75.88,790
7.13E+18,1658966137,1658973423,2473.03,7987.9,3230,49,94,5.22,179,5,6.11,110,84.98,1,1575,1272,20,1898.13,2835.76,2.58,4900.2,59,3.28,1800,2.81,29.67,68,3.78,1.05,3,54,35.15,83.05,453
7.13E+18,1659092136,1659110202,2220.97,29496.66,13281,147,364,6.56,737,2,7.8,433,81.03,6,5832,5551,58,4626.19,2922.1,3.58,16580,208,3.75,5553,3.06,25.52,251,4.52,0.83,3.33,185,25.01,79.71,1216
7.13E+18,1659052758,1659088785,2192.56,50246.97,22917,489,602,4.27,1386,8,5.19,732,83.47,12,11258,10220,105,12968.14,2172.86,2.37,30680.77,380,2.69,14109,2.93,26.96,456,3.23,0.92,2.34,330,39.3,80.74,3484
7.13E+18,1659178520,1659196532,2115.35,29549.33,13969,170,370,5.45,718,8,6.58,446,79.86,12,6222,5739,48,6369.26,2493.08,2.71,17254.6,224,3.3,6783,2.8,26.27,278,4.1,0.94,2.95,200,31.85,77.03,1554
7.13E+18,1659138924,1659174945,1937.91,28020.19,14459,155,333,5.73,758,10,6.88,400,84.14,4,5638,5394,47,4348.03,1639.37,2.2,9577.2,129,2.22,5811,3.24,24.21,155,2.67,0.75,1.94,113,38.48,74.24,1318
7.13E+18,1659264906,1659282960,1936.19,34167.9,17647,206,442,4.32,860,9,5.16,528,77.3,3,7454,6926,74,8048.36,2261.03,2.92,23505.7,312,3.05,10226,3.31,26.07,380,3.72,0.79,2.68,274,29.37,75.34,2116
7.13E+18,1659225495,1659261503,1780.11,31290.7,17578,220,349,4.33,856,13,5.38,433,89.66,6,6478,6428,56,5148.07,1578.77,2.55,13102.2,154,1.91,8054,3.34,21.36,195,2.42,0.64,1.74,140,36.77,85.08,1921
7.13E+18,1659329707,1659347739,2087.82,24991.24,11970,127,325,5.26,518,7,5.99,370,76.9,2,4873,4226,44,5013.22,2213.77,2.84,14247.85,200,3.24,6180,3.28,26.58,231,3.74,0.81,2.82,174,28.81,71.24,1377
7.13E+18,1659437791,1659455801,2017.41,48956.4,24267,258,643,5.1,1124,15,6.02,758,76.14,10,9675,8992,89,11233.3,2141.7,2.68,30054.5,413,3.28,12596,3.01,26.81,496,3.94,0.89,2.91,367,30.61,72.77,2798
7.13E+18,1659524111,1659542129,2501.06,54738.1,21886,350,673,5.04,1204,12,6,802,81.33,17,10663,9968,67,15014.24,2939.26,2.69,40453.1,504,3.77,13365,2.72,30.54,599,4.48,1.12,3.15,421,35.66,80.26,3061
7.13E+18,1659502528,1659520545,2116.76,27702.1,13087,154,343,4.91,543,10,5.85,409,80.76,6,5635,5068,51,6578.05,2523.67,2.78,18299.1,228,3.26,6988,2.55,23.99,267,3.82,0.94,2.82,197,33.39,80.26,1527
7.13E+18,1659610504,1659628517,2155.13,40313.9,18706,234,517,4.95,788,8,6.14,641,77.98,15,8196,7730,90,9893.57,2262.89,2.51,24842,333,3.19,10448,2.87,27.14,416,3.98,0.95,2.93,306,32.33,74.6,2320
7.13E+18,1659588949,1659606963,2230.65,29643.1,13289,169,378,5.19,553,3,6.34,462,78.42,9,5585,4877,42,7120.85,2501.77,2.61,18603.18,243,3.33,7289,2.41,23.57,294,4.03,0.98,2.98,217,32.81,76.56,1641
7.13E+18,1659696937,1659714945,2637.26,65868.21,24976,505,833,5.04,1301,19,5.75,951,79.07,23,11971,10851,107,17008.56,2780.68,2.85,48495.14,637,3.85,16533,2.91,29.91,726,4.39,1.03,3.29,544,31.27,76.13,3802
7.13E+18,1659675396,1659693414,2378.97,29018.66,12198,175,371,5.7,500,9,6.37,415,78.22,4,5524,4690,44,7432.04,2880.94,2.54,18910.5,238,3.66,6510,2.65,30.2,261,4.01,1.14,3.16,206,36.08,79.46,1411
7.13E+18,1659783303,1659801314,2270.62,69126.72,30444,574,868,4.08,1573,20,5.16,1097,79.64,16,13819,13071,119,22569.93,2360.23,2.4,54101.17,691,3.25,21275,3.12,33.09,868,4.08,1.06,2.94,625,36.11,78.29,4834
7.13E+18,1659761728,1659779884,2242.21,34388.83,15337,330,424,4.55,667,2,5.69,530,81.11,2,7866,7058,52,9501.25,2723.9,2.72,25890.64,327,3.51,9309,2.72,27.77,413,4.44,1.02,3.13,291,32.65,79.18,2154
7.13E+18,1659869728,1659887771,2527.5,58215.85,23033,495,737,5.17,1190,15,5.95,848,78.99,13,11018,10412,85,16547.13,2851.48,2.57,42515.51,551,3.87,14250,2.62,30.39,632,4.44,1.16,3.49,498,33.23,77.16,3409
7.13E+18,1659848130,1659866145,2125.52,36799.06,17313,366,436,3.99,935,14,4.84,528,84.4,11,8237,8047,76,10100.71,2384.91,2.66,26896.98,319,2.92,10920,2.7,25.02,390,3.57,0.92,2.56,280,36.07,84.32,2608
7.13E+18,1659916959,1659952979,2129.87,67156.96,31531,561,818,3.97,1706,27,4.71,971,82.1,7,13579,12375,243,19090.4,2141.33,2.38,45475.4,564,2.74,20609,3.03,28.04,665,3.23,0.93,2.4,495,38.57,80.63,5172
7.13E+18,1660042531,1660060570,3066.52,111170.54,36253,725,1130,4.34,2320,36,5.39,1404,98.38,31,18671,17987,176,25740.65,3259.47,3.38,86916.96,884,3.39,26061,3.28,32.39,1084,4.16,0.99,2.96,772,33.34,98.32,6853
7.13E+18,1660020987,1660039002,2060.95,26963.47,13083,180,296,4.23,644,6,5.44,381,91.09,8,6294,5820,39,6273.38,2118.26,2.44,15295.93,173,2.47,6999,3.41,30.6,222,3.17,0.9,2.27,159,39.46,88.42,1751
7.13E+18,1660128916,1660146924,2796.41,103341.22,36955,961,967,3.6,2257,16,4.28,1152,106.87,26,17385,16082,137,30752.45,2853.81,2.64,81182.32,761,2.83,26897,2.99,34.18,900,3.35,1.14,2.53,680,45.22,106.68,6798
7.13E+18,1660107348,1660125367,2587,54394.33,21026,464,555,3.78,1446,14,4.61,678,98.01,14,10340,10069,98,14900.84,2541.72,2.58,38486.67,399,2.72,14692,3.07,31.12,492,3.35,1.01,2.36,346,43.07,96.46,4025
7.13E+18,1660215323,1660233331,2663.45,89734.38,33691,673,812,3.59,1899,23,4.43,1003,110.51,18,14713,13635,124,22183.79,2938.06,3.09,68574.37,610,2.7,22619,3.1,30.45,763,3.37,0.98,2.45,555,39.97,112.42,5559
7.13E+18,1660193760,1660211772,2427.98,31068.49,12796,232,295,4.54,723,8,5.62,365,105.32,11,6175,5720,49,7500.8,2391.29,2.16,16174.68,166,2.56,6492,2.62,30.22,211,3.25,1.16,2.3,149,50.34,97.44,1758
7.13E+18,1660301748,1660319794,2599.8,111006.18,42698,841,898,2.79,3604,45,3.61,1160,123.61,25,14608,14259,194,27887.28,2567.42,3.09,86275.71,688,2.14,32161,3.52,30.54,890,2.77,0.87,1.99,641,43.51,125.4,8163
7.13E+18,1660280258,1660298287,2357.12,29942.47,12703,230,307,4.71,674,7,6.05,394,97.53,5,6505,5897,51,7695.97,2650.83,2.31,17765.89,177,2.72,6512,2.31,27.27,226,3.47,1.18,2.47,161,47.8,100.37,1744
7.13E+18,1660388119,1660406128,2801.13,104431.82,37282,695,861,3.3,2726,26,4.27,1114,121.29,26,13528,13257,179,26062.38,2733.87,2.87,74733.16,602,2.31,26103,2.95,29.46,793,3.04,1,2.15,562,46.37,124.14,6476
7.13E+18,1660474590,1660492600,2345.75,86703.7,36962,549,920,3.76,2569,24,4.84,1185,94.24,27,14664,13634,144,20425.63,2387.34,2.98,60922.56,650,2.66,24459,3.59,30,846,3.46,0.84,2.38,581,35.16,93.73,6367
7.13E+18,1660453003,1660471055,2309.95,33679.07,14580,207,327,4.61,811,10,6.02,427,102.99,9,6355,5936,62,6000,1863.84,2.31,13844.63,135,1.9,7093,2.94,24.86,179,2.52,0.85,1.73,123,48.78,102.55,1762
7.13E+18,1660540181,1660558196,1932.13,31142,16118,167,322,3.53,844,16,4.48,409,96.71,6,7009,6147,61,6009.43,1849.39,2.87,17276.97,176,1.93,9127,3.3,21.75,221,2.42,0.66,1.68,153,39.28,98.16,2342
7.13E+18,1660539352,1660539777,376.54,134.8,358,1,1,0,2,0,0,1,134.8,0,26,37,0,0.1,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0
7.13E+18,1660647304,1660665320,2967.95,114251.36,38495,585,1037,3.74,3103,40,4.69,1300,110.17,14,18070,16603,153,26506.99,3020.01,3.2,84693.21,759,2.74,27715,3.06,29.25,960,3.46,0.96,2.5,694,38.19,111.59,7150
7.13E+18,1660626137,1660644156,2233.61,26669.34,11940,106,288,5.16,712,16,6.49,362,92.6,1,5451,4815,36,4349.8,2238.13,2.92,12712.58,140,2.51,5582,3.28,25.53,178,3.19,0.78,2.22,124,35.08,90.8,1501
7.13E+18,1660733716,1660751755,2440.95,85413.76,34992,526,761,3.25,2517,28,4.2,983,112.24,15,15860,14154,158,21123.71,2374.31,2.75,58014.01,517,2.21,23386,3.13,28.28,672,2.87,0.9,2.01,471,44.85,112.21,5920
7.13E+18,1660713583,1660731592,2010.8,36678.96,18241,210,395,3.6,980,5,4.57,501,92.86,4,8332,7667,66,8513.48,2000.91,2.64,22470.26,239,2.18,10968,3.06,23.76,304,2.77,0.78,1.98,217,39.23,94.02,2689
7.13E+18,1660712248,1660712416,0,0,76,0,0,0,0,0,0,0,0,0,20,15,1,0.28,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
7.13E+18,1660820122,1660838137,2875.29,301149.44,104737,2161,2406,2.84,9144,107,3.65,3091,125.17,51,35649,32390,452,73637.25,2691.03,3.3,243131.48,1923,2.27,84626,3.93,34.2,2476,2.93,0.87,2.08,1759,41.86,126.43,21620
7.13E+18,1660798552,1660816573,2523.59,51026.99,20220,296,527,4.27,1388,8,5.4,666,96.83,4,10285,9362,96,9969.55,2275.64,2.86,28497.89,295,2.39,12332,3.08,24.89,390,3.16,0.81,2.08,257,38.79,96.6,3203
7.13E+18,1660884964,1660902977,1748.85,46762.6,26739,398,458,2.59,1464,9,3.2,566,102.1,8,10034,9920,92,12198.05,1575.76,2.59,31581.4,314,1.78,17688,3.28,22.61,380,2.15,0.69,1.59,281,43.41,100.58,4453
7.13E+18,1660992913,1661010955,1965.06,131549.28,66944,974,1072,2.09,4596,65,2.6,1330,122.71,25,20469,18746,276,32727.24,1744.62,2.96,96744.18,781,1.53,51180,3.78,24.2,987,1.93,0.64,1.41,723,45.27,123.87,12505
7.13E+18,1661079314,1661097324,2313.2,98274.12,42484,650,823,2.72,2926,67,3.39,1027,119.41,13,16307,15412,203,22585.43,2165.44,3.06,69216.1,578,1.91,30274,2.97,22.18,732,2.42,0.75,1.78,538,41.98,119.75,7481
7.13E+18,1661058016,1661076040,2079.38,46474.05,22350,340,461,3.44,1400,22,4.1,550,100.81,10,8858,8536,137,8528.84,1607.37,2.67,22752.38,235,1.75,13399,3.15,20.06,285,2.13,0.64,1.49,200,42.64,96.82,3333
7.13E+18,1661144170,1661162178,1730.27,47890.44,27678,320,483,2.6,1385,22,3.17,587,99.15,5,9943,9896,110,12051.95,1396.56,2.37,28563.9,288,1.55,18543,3.33,21.66,355,1.91,0.65,1.44,267,45.14,99.18,4479
7.14E+18,1661252141,1661270163,2640.14,107495.9,40716,800,904,3.66,2568,31,4.51,1112,118.91,100,20955,19759,192,23342.96,2680.74,2.94,68707.3,586,2.38,24671,2.83,26.8,730,2.96,0.95,2.15,531,43.96,117.25,6157
7.13E+18,1661230543,1661237753,2285.03,21259.9,9304,141,192,2.9,592,9,3.41,226,110.73,9,4675,4554,43,5426.71,2163.29,2.5,13546.5,124,1.87,6632,3.67,30,146,2.2,0.82,1.72,114,47.6,109.25,1531
7.14E+18,1661338537,1661356567,2309.62,127313.2,55123,1716,1045,2.73,4051,46,3.45,1320,121.83,124,21325,21373,226,29464.63,2203.54,3.17,93513.68,771,2.02,38262,3.35,25.83,991,2.59,0.77,1.82,697,42.27,121.29,9966
7.14E+18,1661424923,1661442943,2484.19,147103.6,59216,1605,1153,2.94,4448,56,3.66,1434,127.58,108,24346,24522,234,32746.62,2362.91,3.22,105317.2,825,2.11,39164,3.59,30.02,1029,2.63,0.84,1.91,747,43.84,127.66,10447
7.14E+18,1661511306,1661529333,2557.86,89059.72,34818,523,716,3.24,2252,37,4.1,907,124.39,64,17302,16509,175,20251.2,2474.28,2.89,58566.32,474,2.14,22123,3.18,29.1,600,2.71,0.92,1.96,433,46.77,123.56,5753
7.14E+18,1661489791,1661507807,1826.25,39229.76,21481,383,354,2.65,1125,17,3.2,428,110.82,6,8490,8396,62,9563.72,1493.09,2.26,21593,197,1.47,13383,3.59,25.68,249,1.86,0.71,1.34,179,53.43,109.61,3426
7.14E+18,1661597748,1661615757,2486.23,79862.71,32122,345,641,3.11,2282,27,3.87,797,124.59,62,13568,13328,183,15871.64,2110.9,2.85,45272.55,365,1.77,20594,3.81,29.38,463,2.25,0.77,1.65,339,46.82,124.03,5105
7.14E+18,1661576080,1661594097,1927.94,39254.84,20361,227,348,2.77,1075,15,3.24,407,112.8,17,8353,8336,85,10088.23,1515.53,2.03,20503.64,189,1.5,12564,3.32,26.65,225,1.79,0.8,1.38,173,58.31,108.48,3126
7.14E+18,1661684159,1661702167,2546.14,114953.15,45148,637,900,2.87,3293,53,3.48,1093,127.73,36,19124,19059,293,25140.1,2314.6,3.06,77043.85,608,1.94,31393,3.52,28.15,749,2.39,0.8,1.82,572,43.95,126.72,8041
7.14E+18,1661662480,1661680489,2146.49,43415,20226,199,358,2.95,1209,13,3.61,439,121.27,14,8128,8146,76,9264.32,1727.93,2.43,22535.6,187,1.54,12147,3.39,25.88,241,1.98,0.76,1.43,174,53.24,120.51,3097
7.14E+18,1661748862,1661766871,2043.18,54941.1,26890,355,457,2.54,1603,25,3.32,597,120.22,8,10566,10114,109,12307.02,1658.25,2.59,31826.8,263,1.46,17989,3.84,26.29,349,1.94,0.68,1.28,230,53.51,121.01,4726
7.14E+18,1661856913,1661874922,2455.75,111451.77,45384,636,902,2.95,3635,52,3.68,1126,123.56,72,19315,20073,215,25152.98,2328.66,2.98,75031.61,607,1.98,30617,3.78,31.02,771,2.52,0.82,1.82,556,45.24,123.61,7632
7.14E+18,1661840676,1661853310,2443.19,32626.4,13354,156,265,3.55,865,10,4.48,334,123.12,4,5759,5763,40,6962.99,2430.18,2.71,18836.3,153,2.05,7458,3.78,35.25,189,2.53,0.93,1.88,140,49.74,123.11,2041
7.14E+18,1661835282,1661838889,1785.81,7750.4,4340,49,63,2.73,306,3,3.29,76,123.02,1,1560,1603,18,1566.81,1104.96,1.66,2604.4,24,1.04,2311,3.34,22.65,29,1.25,0.68,0.91,21,74.61,108.52,604
7.14E+18,1661943306,1661961313,2768.21,125217.4,45234,610,1019,3.27,3944,51,4.01,1250,122.88,36,18962,19439,196,26793.37,2503.62,3.1,83085.1,678,2.17,31200,3.84,32.94,848,2.72,0.86,1.96,612,43.78,122.54,7934
7.14E+18,1661921709,1661941518,2026.01,38275.39,18892,191,338,3.04,1038,19,3.86,429,113.24,7,8013,7961,80,8864.92,1644.1,2.16,19122.5,170,1.53,11116,3.74,29.8,208,1.87,0.8,1.34,149,59.5,112.49,2861
7.14E+18,1662029781,1662047789,2683.82,121112.8,45127,571,1143,3.58,3851,80,4.38,1401,105.96,15,21999,21334,234,27419.41,2460.96,3.02,82742.5,801,2.51,31951,4.18,35.9,981,3.07,0.86,2.23,713,38.46,103.3,9052
7.14E+18,1662008109,1662026119,2520.2,33979.83,13483,124,293,5.07,773,11,6.23,360,115.97,2,6312,6187,50,5105.47,2202.44,2.62,13353.4,118,2.04,5778,3.8,33.56,143,2.47,0.88,1.8,104,49.09,113.16,1670
7.14E+18,1662116113,1662134128,2746.74,89400.77,32548,370,791,3.84,2689,31,4.77,983,113.02,23,14565,14703,126,18788.91,2605.7,3.02,56689.7,509,2.47,20596,3.77,34.38,617,3,0.91,2.23,460,40.85,111.37,5296
7.14E+18,1662101706,1662113414,2588.85,19519.94,7540,75,189,7.17,458,10,8.65,228,103.28,5,3726,3590,19,2557.17,2437.44,2.68,6841.9,66,2.5,2636,4.15,40.22,77,2.92,0.97,2.12,56,45.66,103.67,740
7.14E+18,1662094733,1662101171,2314.68,15830.1,6839,74,142,3.63,459,5,4.66,182,111.48,3,3283,3178,24,3956.36,2019.5,2.02,7985.1,78,2,3907,3.44,34.82,103,2.64,1.01,1.92,75,52.75,102.37,1074
7.14E+18,1662202506,1662220518,2270.3,83158.73,36629,355,736,3.04,3114,54,3.73,905,112.99,9,14808,14838,176,18218.19,1981.69,2.78,50683.81,468,1.93,24234,4.17,31.34,580,2.39,0.75,1.75,425,42.87,108.3,6552
7.14E+18,1662288907,1662306933,2738.04,182027.66,66481,1130,1787,3.45,5870,109,4.22,2187,101.86,29,32527,30153,412,41974.24,2524.15,3.22,135274.35,1351,2.61,51797,3.7,29.97,1650,3.19,0.81,2.29,1185,35.42,100.13,14619
7.14E+18,1662267310,1662285318,2527.2,48997.44,19388,262,433,3.85,1441,19,4.69,527,113.16,9,9278,8858,85,9688.77,2164.89,2.59,25084.6,231,2.05,11247,3.69,31.76,289,2.57,0.86,1.87,210,46.14,108.59,3018
7.14E+18,1662353719,1662371728,2399.43,49905.67,20799,193,436,3.34,1475,37,4.16,542,114.46,8,9454,8925,92,10973.2,1917.65,2.34,25723.3,236,1.81,13035,4.3,36.18,299,2.29,0.84,1.6,208,52.76,109,3480
7.14E+18,1662461719,1662479728,2842.58,159565.64,56134,958,1482,3.61,4450,72,4.57,1876,107.67,36,25302,23207,247,38011.66,2675.78,3.02,114799,1067,2.6,41020,3.34,31,1370,3.34,0.93,2.28,937,40.57,107.59,11436
